,text,explanation,origin
1795,Shot across the bows,"A
warning shot, either real or metaphorical.",English
1796,Shot heard 'round the world - The ,A line from Emerson's Concord Hymn. Later used to denote shots of various forms that had international significance. ,English
1797,Shot in the arm,"A
stimulus.",English
1798,Shot in the dark,"A
hopeful attempt.",English
1799,Shoot through,"To abscond, or depart quickly.",English
1800,Short shrift,"To
give 'short shrift' is to give little and unsympathetic attention to. ",English
1801,Show a leg - see shake a leg,Rouse yourself from sleep and get out of bed.,English
1802,Show your mettle,Demonstrate your true character. ,English
1803,Shrinking violet,A shy or modest person.,English
1804,Shuffle off this mortal coil,Die.,English
1805,Shut your cake-hole,Be quiet.,English
1806,Siamese twins,Inextricably linked - inseparable. Previously the term was used as a synonym for the more accurate term 'conjoined twins'.,English
1807,Sick puppy (A) ,"Someone who behaves oddly, as a sick puppy might; for example, a lovesick person who pines after their beloved. ",English
1808,Sight for sore eyes (A) ,A welcome sight;  someone or something you are glad to see.,English
1809,Silly Billy,"I have been watching the 30th cricket Test series between England and India and  musing about the oddly named field positions 'Silly mid-on', 'Silly point' etc. I've watched enough cricket to know that these are positions close to the batsman, but wondered why they are labelled 'silly' and whether there might be  an archaic 'near to' meaning of the word. As it turns out, there isn't. 'Silly' in this context means what we normally mean by the word, that is, 'foolish or empty-headed'. Anyone who has been hit on the knee (or elsewhere) by a cricket ball will understand that standing about six feet away from the batsman is just plain silly.",English
1810,Silly season,"I have been watching the 30th cricket Test series between England and India and  musing about the oddly named field positions 'Silly mid-on', 'Silly point' etc. I've watched enough cricket to know that these are positions close to the batsman, but wondered why they are labelled 'silly' and whether there might be  an archaic 'near to' meaning of the word. As it turns out, there isn't. 'Silly' in this context means what we normally mean by the word, that is, 'foolish or empty-headed'. Anyone who has been hit on the knee (or elsewhere) by a cricket ball will understand that standing about six feet away from the batsman is just plain silly.",English
1811,Silver lining - every cloud has a ,"The proverbial saying 'every cloud has a silver lining' is used to convey the notion that, no matter how bad a situation might seem, there is always has some good aspect to it. ",English
1812,Sir Walter Scott (phrases coined by) ,"There are many sources for the phrases and sayings that colour our language. One important source is the Bible, from which we get 'by the skin of your teeth', 'from strength to strength' and many more. Whether we view these as English phrases is debatable as the first English translation of the Bible was a thousand years or more after the writing of the original biblical texts. Wycliffe's translation, circa 1392, is the first version that brought the Bible to the English-speaking world - apart from that small number of scholars who had read the previous Latin versions and discussed them in English. Whatever we think about the Englishness of translated biblical phrases even they pale next to the single most prolific coiner of English - Shakespeare. To use his own words from All's Well That Ends Well:",English
1813,Silence is golden,"A proverbial saying, often used in circumstances where it is thought that saying nothing is preferable to speaking. ",English
1814,Silver bullet,A direct and effortless solution to a problem. ,English
1815,Similes,A simile is a comparison of one thing with another.,English
1816,Sitting pretty,Comfortably placed or well situated. ,English
1817,Sixes and sevens - At ,"A state of confusion and disorder, or of disagreement between parties.",English
1818,Skeleton in the closet,"The expression 'a skeleton in the closet' refers to a secret source of shame, potentially ruinous if exposed, which a person or family makes efforts to conceal.",English
1819,Skid row,A squalid district inhabited by the impoverished and destitute.,English
1820,Skin and blister,Sister.,English
1821,(By the) skin of your teeth,Narrowly; barely. Usually used in regard to a narrow escape from a disaster.,English
1822,(The) sky's the limit,There is no apparent limit.,English
1823,Sledgehammer to crack a nut - A ,To use 'a sledgehammer to crack a nut' means to use disproportionate force or expense to overcome a minor problem. ,English
1824,Sleep like a top,To sleep like a top is to sleep very soundly.,English
1825,Sleep on a clothesline,To sleep on a clothesline is to sleep very soundly.,English
1826,Sleep tight,To 'sleep tight' is to sleep well and undisturbed.,English
1827,Sleeveless errand,A pointless undertaking. ,English
1828,Sloane Ranger,"Sloane Rangers, or latterly just Sloanes or Sloanies are upper class and fashion-conscious but conventional young people, living in the more expensive parts of West London.",English
1829,Slush fund,"Money put aside to be used to bribe or influence, especially in a political context.",English
1830,Smallest room in the house - The,"A euphemistic
reference to a lavatory.",English
1831,Smart casual,Smart but informal clothing. Conforming to a dress code but not uncomfortably so.,English
1832,Smoke and mirrors,"Trickery or deception, often in a political context. ",English
1833,Snug as a bug in a rug,To be 'as snug as a bug in a rug' is to be very comfortable and cosy.,English
1834,So sue me,A defiant challenge for an adversary to escalate a dispute. ,English
1835,Soap-dodger,A scruffy or dirty person; one who washes rarely.,English
1836,Sod's Law,"The so-called law is usually expressed as 'If anything can go wrong, it will'.",English
1837,Sold down the river,Betrayed or cheated.,English
1838,"Some are born great, some achieve greatness, and some have greatness thrust upon 'em",Literal meaning ,English
1839,"Some men are born mediocre, some men achieve mediocrity, and some men, have mediocrity thrust upon them",Literal meaning.,English
1840,Someone is walking over my grave,A response to a sudden unexplained shudder or shivering.,English
1841,Something for the weekend sir?,A coy query asking if a customer wanted to buy a condom.,English
1842,Something nasty in the woodshed,"'Something nasty in the woodshed' is a traumatic but unspecified incident in someone's experience, or something  shocking or distasteful that has been  kept secret.",English
1843,"Something old, something new, something borrowed, something blue",The collection of items that is considered lucky for a bride to take to her wedding.,English
1844,Son of a bitch,A general term of abuse for a man. ,English
1845,Son of a gun,"A 'son of a gun' is a rogue or scamp - ""you are naughty, you old son of a gun"". The phrase is also used, although this is uncommon outside the USA, as a euphemism for 'son of a bitch'. ",English
1846,Sorry sight,A regrettable and unwelcome aspect or feature. Now also used to mean something or someone of untidy appearance. ,English
1847,Sound bite,"A short and easily remembered line, intended by the speaker to be suitable for media repetition.",English
1848,Sound out,To shirk one's labour; to malinger. ,English
1849,Sour grapes,Acting meanly after a disappointment.,English
1850,"Space, the final frontier",The first line of the opening voice-over in Star Trek,English
1851,Spare the rod and spoil the child,"'Spare the rod and spoil the child' is the notion that children will become weak and vulnerable if not chastised, physically or otherwise, for any wrongdoing.",English
1852,Speak of the Devil,A reference to someone who appears unexpectedly while being talked about. ,English
1853,Speak softly and carry a big stick,"'Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.",English
1854,Special relationship,The relationship between the United Kingdom and the USA.,English
1855,Spelling-bee,A spelling contest.,English
1856,Spend a penny,To use a public lavatory.,English
1857,Spick and span,Entirely new - fresh or unused.,English
1858,Spill the beans,"To divulge a secret, especially to do so inadvertently or maliciously. ",English
1859,Spin doctor,A 'spin doctor' is a political press agent or publicist employed to promote a favourable interpretation of events to journalists.,English
1860,Spitting feathers,Various meanings; see below.,English
1861,Spitting image,The exact likeness.,English
1862,Spoonerisms,A Spoonerism is a word or phrase that is formed by transposing the initial sounds of two or more other words.,English
1863,"Spring forward, fall back","'Spring forward, fall back' is a mnemonic relating to Daylight Saving Time, indicating that clocks are moved  forward an hour in spring and  back an hour in autumn.",English
1864,Spruce-up,To make smart and trim.,English
1865,Square meal,"A
substantial, nourishing meal.",English
1866,Squeaky bum time,"The tense, final stages of a competition.",English
1867,Stand and deliver,"A demand for money, often associated with English highwaymen. ",English
1868,Stand up guy,"A loyal and
reliable friend.",English
1869,Standing on the shoulders of giants,Using the understanding gained by major thinkers who have gone before in order to make intellectual progress.,English
1870,Star-crossed lovers,"Star-crossed means unlucky, that is, not favoured by the stars.",English
1871,"Stark, raving mad",Completely mad; delirious. ,English
1872,Stars and garters - My ,A jocular exclamation or expression of astonishment. ,English
1873,Start from scratch,"Begin (again) from the beginning, embark on something without any preparation or advantage.",English
1874,Steal a march,Gain an advantage over an opponent.,English
1875,Steal my thunder,Someone 'steals your thunder' when they use your ideas or inventions to their own advantage. ,English
1876,Step up to the plate,"'Step up to the plate' is an expression used in baseball, meaning 'enter the batter's box to take a turn to bat'. ",English
1877,Stick in the mud,A narrow-minded or unprogressive person; one who lacks initiative ,English
1878,Sticks and stones may break my bones,"'Sticks and stones may break my bones' is a response to an insult, implying that ""You might be hurt able to hurt me by physical force but not by insults"". ",English
1879,Sticky wicket,"A
difficult situation.",English
1880,Stiff upper lip,"Remain resolute and unemotional in the face of adversity, or even tragedy. ",English
1881,Stiffen the sinews,"To stiffen the sinews is to, by one's own efforts, become resolute and purposeful. The sinews are the fibrous cords that connect bone to muscle - we stiffen them when we prepare for action.",English
1882,Stinking rich,"Extremely, offensively rich ",English
1883,Stitch in time saves nine - A ,A 'stitch in time' is a timely effort that will prevent more work later.,English
1884,Stone the crows,An exclamation of incredulity or annoyance. ,English
1885,Stone's throw,"A
short distance.",English
1886,Stony-hearted,Cruel and unfeeling. ,English
1887,Stool pigeon,"The literal meaning of a stool pigeon is a  decoy bird. In the more common figurative meaning a stool pigeon is  a police informer, or criminal's look-out.",English
1888,Storm in a teacup,"A tempest in a teapot is a small or insignificant event that is over-reacted to, as if it were of considerably more consequence.",English
1889,Straight as a die,Completely straight.,English
1890,Straight from the horse's mouth,From the highest authority.,English
1891,Strain at the leash,To strain at the leash is to be enthusiastic to free oneself from the restrictions that bar one's progress.,English
1892,Strait-laced,Excessively rigid  in matters of conduct; narrow or over-precise in one's behaviour or moral judgement. ,English
1893,Strait and narrow,A conventional and law-abiding course. ,English
1894,Stranger danger,"A slogan, intended to alert children to the risks posed by people they do not know. ",English
1895,Stranger than fiction - Truth is ,Literal meaning. ,English
1896,Strike while the iron is hot,To strike while the iron is hot is to act decisively and take an opportunity when it arises.,English
1897,Stuff and nonsense,"Rubbish, nonsense. Also used, although less often in recent years, as an exclamation of incredulity. ",English
1898,Stump up,Pay for a purchase.,English
1899,Such is life,"An acceptance of the unpredictable fortunes of existence, often spoken with an air of weary resignation. ",English
1900,Surf and turf,"A type of cuisine that combines both meat and seafood (especially lobster and steak), or restaurants that serve such cuisine.",English
1901, Surfing the Net/surfing the Internet/surfing the Web ,"Surfing (a.k.a. surfboarding) is, in its literal meaning, the riding of a wave while standing or lying on a surfboard. ",English
1902,Survival of the fittest,The idea that species adapt and change by natural selection with the best suited mutations becoming dominant.,English
1903,Suspension of disbelief,The temporary acceptance as believable of events or characters that would ordinarily be seen as incredible. This is usually to allow an audience to appreciate works of literature or drama that are exploring unusual ideas. ,English
1904,Swan song,"A
          swan song is a final composition or performance, given before dying or retirement.",English
1905,Sweet Fanny Adams,Nothing.,English
1906,Swing for you,"""I will kill you and am prepared to be hanged as a consequence"", or ""I will swing a punch at you"". ",English
1907,Swing the lead,To shirk one's labour; to malinger. ,English
1908,Tail wagging the dog - The ,An item of minor importance dominating a situation. ,English
1909,Take a back seat,To 'take a back seat' is take a subordinate or reclusive position.,English
1910,Take care of the pence and the pounds will take care of themselves,Literal meaning.,English
1911,Take down a peg or two,"To 'take (or pull, or bring) down a peg (or two)' is to lower someone's high opinion of themselves.",English
1912,Take potluck ,"Take one's chance as to what meal one is served when accepting another's hospitality. Also, in the USA, potluck is the name of a communal meal, in which participants each bring a dish to be shared. ",English
1913,Take the bit between your teeth,Take control of a situation.,English
1914,Take the cake,"Carry off the honours. Sometimes used to express incredulity; for example, ""That's three goals he's missed in one game. If that don't take the cake..."". ",English
1915,Take the gilt off the gingerbread,Remove an item's most attractive qualities. ,English
1916,Take the Mickey,Tease or make fun of. ,English
1917,Take the upper hand,Take a dominant position. ,English
1918,Take umbrage ,To be displeased or offended by the actions of others. ,English
1919,Take with a grain of salt,To take a statement with 'a grain of salt' (or 'a pinch of salt') means to accept it while maintaining a degree of scepticism about its truth.,English
1920,Taken aback,To be taken aback is to be surprised or startled by a sudden turn of events.,English
1921,Taken for a ride,"To be 'taken for a ride' is to be deliberately misled or cheated. Alternatively, and primarily in the USA, it means to be  abducted in a vehicle and murdered.",English
1922,Talk of the Devil,A reference to someone who appears unexpectedly while being talked about. ,English
1923,Talk the talk,Back up one's talk with action. ,English
1924,Talk through one's hat,Talk nonsense; especially on a subject that one professes to be knowledgeable about but in fact is ignorant of.,English
1925,Talk to the hand,(With outstretched vertical palm) Shut up - I've no interest in hearing what you've got to say.,English
1926,Tall story,An untrue and unbelievable story. ,English
1927,Tanstaafl - (there's no such thing as a free lunch),"The economic theory, and also the lay opinion, that whatever goods and services are provided, they must be paid for by someone - that is, you don't get something for nothing. The phrase is also known by the acronym of 'there ain't no such thing as a free lunch' - tanstaafl. ",English
1928,Tattoo phrases and sayings,"Almost all examples of the written word are found on paper. Until the late 20th century, the only significant alternative was on gravestones. We can now add another source - tattoos.",English
1929,Tawdry,"Showy, but of poor quality.",English
1930,Tea leaf,Thief.,English
1931,Technicolor yawn,Vomiting.,English
1932,Tell it to the marines,A scornful response to a tall and unbelieved story.,English
1933,Tell me about it ,"'Tell me about it' is a lighthearted, rueful response used when someone wants to say ""I'm well aware of that; you don't have to tell me."".",English
1934,Tempest in a teapot,"A tempest in a teapot is a small or insignificant event that is over-reacted to, as if it were of considerably more consequence.",English
1935,Test your mettle - see show your mettle,Demonstrate your true character. ,English
1936,That's all folks!,"The catchphrase on the
banner shown at the end of Looney Tunes cartoons.",English
1937,That's all she wrote,An articulation of a sudden and unforeseen  end to one's hopes or plans.,English
1938,"That's one small step for a man, a giant leap for mankind","These were Neil
Armstrong's words on first setting foot on the moon in 1969. The line is a strong contender as the most famous  ever to have been uttered. ",English
1939,"The ants are my friends, they're blowing in the wind",Misheard lyric.,English
1940,The apple never falls far from the tree,"The proverbial saying 'the apple never falls far from the tree', or 'the apple doesn't fall far from the tree' expresses the idea that a person inevitably shares traits with or resembles his or her parents or family.. ",English
1941,The apple of my eye,"The apple of one's eye originally referred to the central aperture of the eye. Figuratively it is something, or more usually someone, cherished above others. ",English
1942,The back of beyond,A lonely forsaken place.,English
1943,The balance of power,"The
distribution of power between nations in such a way that no single state has dominance
over the others.",English
1944,The balance of trade,"The
difference between the value of the imports and exports that a nation makes.",English
1945,The bane of my life,The agent of ruin or woe.,English
1946,The bee's knees,If something is said to be the bee's knees it is excellent - the highest quality.,English
1947,The belle of the ball,The most attractive woman at a social gathering. ,English
1948,The best  defense is a good offence,The proverbial phrase 'attack is the best form of defence' expresses the opinion that a pre-emptive strike is the best way to defend yourself.,English
1949,The best laid schemes of mice and men,The most carefully prepared plans may go wrong.,English
1950,The Big Apple,"Nickname
for New York, USA.",English
1951,The Big Easy,"Nickname
for New Orleans, USA, referring
to the easy-going, laid back attitude to life that jazz musicians and local residents indulge in there.",English
1952,The birds and the bees,'The birds and the bees' is a  phrase that refers to coy explanations about sex and reproduction that are given to children. ,English
1953,The bitter end,"To the
limit of one's efforts - to the last extremity.",English
1954,The blind leading the blind,"Uninformed
and incompetent people leading others who are similarly incapable.",English
1955,The bread of life,"

A name used by Christians to denote Jesus Christ.",English
1956,The buck stops here,The slogan 'The buck stops here' is a promise that responsibility will not be passed on to anyone else.,English
1957,The call of the wild,The appeal of nature in the raw.,English
1958,The camera cannot lie,Literal meaning. ,English
1959,The chickens come home to roost,Bad deeds or words return to discomfort their perpetrator. ,English
1960,The child is father to the man,The proverb 'The child is father to the man' expresses the idea that the character that we form as children stays with us into our adult life.,English
1961,The collywobbles,"A
state of intestinal disorder, usually accompanied by a rumbling stomach; for example, 'butterflies in the stomach'.",English
1962,The course of true love never did run smooth,Literal meaning.,English
1963,The crack of doom,"The sound that heralds the day of the Last Judgment, when God will decree the fates of all men according to the good and evil of their earthly lives.",English
1964,The Crapper,"The
 lavatory.",English
1965,The customer is always right,"'The customer is always right' is a trading slogan that states a company's keenness to be seen to put the customer first. The implied suggestion is that the company is so customer focussed that they will say the customer is right, even if they aren't.",English
1966,The cut of your jib,One's general appearance and demeanour.,English
1967,The dark side,"The evil and malevolent aspect of human personality or society, often referred to in a lighthearted or comic context. ",English
1968,The darkest hour is just before the dawn,"There is hope, even in the worst of circumstances.",English
1969,The Devil has all the best tunes,"'The Devil has all the best tunes' is the view that  music, especially popular music, is predominantly secular rather than religious.",English
1970,The Devil Incarnate,The Devil in human form. ,English
1971,The Devil is in the details,"The details of a plan, while seeming insignificant, may contain hidden  problems that threaten its overall feasibility. ",English
1972,The Devil makes work for idle hands to do,'The devil makes work for idle hands' is one of the numerous variants of phrase that express the idea that trouble or evil arises from not keeping  busy. ,English
1973,The Devil take the hindmost,A proverbial phrase indicating that those who lag behind will receive no aid.,English
1974,The Devil to pay,'The devil to pay' means serious trouble because of a particular circumstance or obligation. ,English
1975,The die has been cast,"'The die has been cast' means that an
irrevocable choice has been made.",English
1976,The early bird catches the worm,Success comes to those who prepare well and put in effort. ,English
1977,The elephant in the room,"An important and obvious topic, which everyone present is aware of, but which isn't discussed, as such discussion is considered to be uncomfortable. ",English
1978,The emperor's new clothes,The label given to any fictional item that viewers have been induced into believing as real.. ,English
1979,The ends of the earth ,The furthest reaches of the land. ,English
1980,The exception which proves the rule,"Normally with these meanings and origins the meaning is well-understood or self-evident and the interesting aspect is how, where and when the phrase originated. This one is a little different - it's the meaning that is generally not understood. ",English
1981,The face that launched a thousand ships,"A reference to the mythological figure Helen of Troy (or some would say, to Aphrodite). Her abduction by Paris was said to be the reason for a fleet of a thousand ships to be launched into battle, initiating the Trojan Wars.",English
1982,The fat of the land,Living well; fed by abundant crops. ,English
1983,The female of the species is more deadly then the male,See also: the List of Proverbs.,English
1984,The fifth estate,The fifth power in the land.,English
1985,The floozie in the jacuzzi,"The floozie (or floosie or floozy) in the jacuzzi is the nickname of the bronze statue, properly called Anna Livia, previously in O'Connell Street, Dublin, Ireland. It personifies the River Liffey, which passes nearby. ",English
1986,The fly in the ointment,A fly in the ointment is a small but irritating flaw that spoils the whole. In the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil  an otherwise faultless plan.,English
1987,The full monty,"Complete, the whole thing.",English
1988,The game is afoot,"The phrase 'the game is afoot' means 'the process is underway'; for example, 'The teams are on the pitch - the whistle blows - the game is afoot.' ",English
1989,The game is up,The original meaning was 'the game is over - all is lost'. More recently it has come to be used to mean ' we have seen through your tricks - your deceit is exposed'.,English
1990,The great unwashed,"The common, lower classes; the hoi polloi.",English
1991,The hair of the dog that bit you,"The hair of the dog is a small measure of drink, intended to cure a hangover. ",English
1992,The hairy eyeball,A glance made with partially lowered eyelashes. This usually indicates suspicion or hostility but may signal other emotions too. ,English
1993,The heebie-jeebies,"A feeling of anxiety, apprehension or illness.",English
1994,The jury is still out,Judgement has not yet been finalised on a particular subject; especially due to information being incomplete. ,English
1995,The land of nod,The Land of Nod is a mythical  land where we travel to to sleep.,English
1996,The last straw,The final additional small burden that makes the entirety of one's difficulties unbearable.,English
1997,The law is an ass,Said of the application of the law that is contrary to common sense.,English
1998,The life of Riley,'The life of Riley' is an easy and pleasant life.,English
1999,The living daylights,"To beat the living daylights out of someone is to beat them severely, to the point where they lose consciousness. ",English
2000,The love that dare not speak its name,"A reference to homosexual love, although Oscar Wilde
 denied this in his defense of the charge of gross indecency.",English
2001,The monstrous regiment of women,"A disparaging description, often used to describe feminist or rowdy women by their detractors.",English
2002,The more the merrier,"The more people who are present, the better an occasion or situation (especially a party) will be.",English
2003,The moving finger writes,The phrase 'The moving finger writes...' expresses the notion that whatever one does in one's life is one's own responsibility and cannot be changed.,English
2004,The mutt's nuts,"Excellent
- the highest quality.",English
2005,The nth degree ,To the utmost degree; without limit.,English
2006,The opera ain't over till the fat lady sings,Nothing is irreversible until the final act is played out. ,English
2007,The pen is mightier than the sword ,Literal meaning.,English
2008,The pip - Get/got/have ,Become irritated or annoyed. ,English
2009,The pot calling the kettle black,'The pot calling the kettle black' is a response often given when someone  criticises  another for a fault they also  have themselves.,English
2010,The powers that be,The established government or authority.,English
2011,The proof of the pudding is in the eating ,To fully judge how effective something is you need to use it for its intended purpose.,English
2012,The quick and the dead,All souls - alive or dead.,English
2013,The real McCoy,The real thing - not a substitute. ,English
2014,The road less travelled,"The road less travelled is the 
          unconventional or uninvestigated option. More metaphorically, it is also used to refer to 'the life you never had' - what might have been had you  made different choices. The notion is near
          to what is nowadays called 'alternative'.",English
2015,The road to hell is paved with good intentions,The intention to engage in good acts often fails. It points up the principle that there is no merit in good intentions unless they are acted on.,English
2016,The salt of the earth ,People who are described as 'the salt of the earth' are those who are considered to be of great worth and reliability. ,English
2017,The seven-year itch,The inclination to become unfaithful after seven years of marriage.,English
2018,The shoemaker always wears the worst shoes,Artisans work for the wealthy but cannot afford their own produce.,English
2019,The short end of the stick,To get the short end of the stick is to come off worst in a bargain or contest.,English
2020,The shot heard 'round the world,A line from Emerson's Concord Hymn. Later used to denote shots of various forms that had international significance. ,English
2021,The sky's the limit,There is no apparent limit.,English
2022,The smallest room in the house,"A euphemistic
reference to a lavatory.",English
2023,The straw that broke the camel's back,The final additional small burden that makes the entirety of one's difficulties unbearable.,English
2024,The tail wagging the dog,An item of minor importance dominating a situation. ,English
2025,The toast of the town,A person who is widely admired.,English
2026,The third degree,Close interrogation.,English
2027,The triumph of hope over experience,A literal view of the subject of remarriage.,English
2028,The upper hand,Take a dominant position. ,English
2029,The usual suspects,"""The usual suspects"" are the people habitually suspected or arrested following a crime. ",English
2030,The whole kit and caboodle,A collection of things. ,English
2031,The whole nine yards,The expression 'the whole nine yards' means 'all of it - the full measure'.,English
2032,The whole shebang,All of it; the whole thing.,English
2033,The writing is on the wall,The expression 'the writing is on the wall' is used whenever an inevitable result or imminent  danger has become apparent. ,English
2034,The wrong side of the blanket,The expression 'born on the wrong side of the blanket' is a euphemism for being born out of wedlock. ,English
2035,The year dot,A very long time ago; too long ago to be dated.,English
2036,The Yellow Peril,The supposed danger of Oriental hordes overwhelming the West. ,English
2037,There is more than one way to kill a cat,The proverbial saying 'There is more than one way to skin a cat' means there is more than one way of achieving an aim. ,English
2038,There are three kinds of lies... ,This saying has a literal meaning. It suggests that statisyics can be used to mislead even more than the worst form of untruth.,English
2039,"There but for the grace of God, go I","I too, like someone seen to have suffered misfortune, might have suffered a similar fate, but for God's mercy. ",English
2040,There is no alternative,"This is the mantra chanted by 'dries' during the prime ministerial reign of Margaret Thatcher, by which they demonstrated their belief that free-market capitalism was the only possible economic theory. It was said so often amongst them that it was shortened to TINA. The hard-right Thatcherites called themselves 'dries' to demonstrate their opposition to the 'wets', that is, the One-Nation Tories whom Thatcher despised. Wet was the public school nickname for any boy who showed any sign of caring for his fellow beings.",English
2041,There's an R in the month,"The
weather is cold.",English
2042,There's method in my madness,Reason behind apparent folly or disorder. ,English
2043,There's no fool like an old fool,"People of mature years, who are expected to know better, often do outrageously foolish things, especially regarding romantic liaisons.",English
2044,There's no place like home,Home is the best of all places.,English
2045,There's no such thing as a free lunch (Tanstaafl),"The economic theory, and also the lay opinion, that whatever goods and services are provided, they must be paid for by someone - that is, you don't get something for nothing. The phrase is also known by the acronym of 'there ain't no such thing as a free lunch' - tanstaafl. ",English
2046,There's no such thing as bad publicity,"'There is no such thing as bad publicity' is the notion that all mentions in the media aid a person's cause, even if they put them in a bad light.",English
2047,There's one (a sucker) born every minute,There are many fools and dupes in the world. ,English
2048,There's one law for the rich and another law for the poor,"This proverbial saying express the opinion that the poor are treated harshly by the law whereas the rich, with their access to clever lawyers and bribes, usually escape punishment.",English
2049,They couldn't hit an elephant at this distance,NO INFORMATION,English
2050,Thick and fast ,"If something comes 'thick and fast' it comes in rapid succession with little time to respond between events. It may refer to physical objects, like raindrops, or non-physical, like commands.",English
2051,Thick and thin ,Through all forms of obstacle that are put in one's way. ,English
2052,(As) thick as thieves,Close friends with; sharing  confidences.,English
2053,(As) thick as two short planks,Exceedingly stupid.,English
2054,Thin air - Vanish into ,Disappear without trace.,English
2055,Thing of beauty is a joy forever - A ,The experience of beauty is blissful and lasting.,English
2056,Things that go bump in the night,Frightening but imagined supernatural events.,English
2057,Think outside the box,"Think creatively, unimpeded by orthodox or conventional constraints.",English
2058,Thinking cap,Take time for consideration of some question.,English
2059,Third degree - The ,Close interrogation.,English
2060,Third time lucky,The belief that the third time something is attempted is more likely to succeed than the previous two attempts. It is also used as a good luck charm - spoken just before trying something for the third time. ,English
2061,Thomas Paine - The writings of,NO INFORMATION,English
2062,Thorn in the flesh,A persistent difficulty or annoyance.,English
2063,Thou shalt not kill,Literal meaning,English
2064,"Though this be madness, yet there is method in it",Reason behind apparent folly or disorder. ,English
2065,Three score and ten,"'Three
score and ten' is the nominal span of a human life. In the days that this expression was coined that span was considered to be seventy years.",English
2066,Three sheets to the wind,Very drunk.,English
2067,Three strikes and you are out,This slogan was used by US President Clinton to publicize his plans for mandatory life sentences for those convicted of a third violent offence.,English
2068,Through thick and thin ,Through all forms of obstacle that are put in one's way. ,English
2069,Throw in the towel,"To throw in the towel (or, to throw the towel in) is to give up, to avoid further punishment when facing certain defeat.",English
2070,Throw good money after bad,"You 'throw good money after bad' when, following the loss of some money, you to incur a further loss in trying to make good.",English
2071,Throw your hat into the ring,"Make or take up a challenge, or demonstrate one's willingness to join an enterprise. ",English
2072,Thumbs up,"A sign of acceptance, approval or encouragement, made with closed fingers and the thumb extended upwards. ",English
2073,Thus far into the bowels of the land,The dark interior of the earth.,English
2074,Ticked off,"Chastised; 'told off', or in a separate US meaning, 'annoyed'. There's also the literal meaning of 'ticked off' - when ticks are placed against a list of items as they are noted. ",English
2075,Tickle the ivories,Play the piano.,English
2076,Tickled pink,Delighted. ,English
2077,Tide over,"Make a small allowance (of money, food etc.) last until stocks are replenished. ",English
2078,Tie the knot,Get married.,English
2079,Till the cows come home,For a long but indefinite time.,English
2080,Time and tide wait for no man,No one is so powerful that they can stop the march of time. ,English
2081,Tinker's damn,Something that is insignificant or worthless.,English
2082,Tilting at windmills,To 'tilt at windmills' is to attack imaginary enemies.,English
2083,Tissue of lies,A story  invented in order to deceive. ,English
2084,Titfer,A blow or some other retaliation in return for an injury from another.,English
2085,Tit for tat ,A blow or some other retaliation in return for an injury from another.,English
2086,Tits up,Inoperative; broken. The term is also used to mean fallen over (on one's back),English
2087,To a T,If something is said to fit 'to a T' it fits exactly; properly; precisely.  ,English
2088,To all intents and purposes,In effect; for all practical purposes.,English
2089,"To be or not to be, that is the question",Shakespeare's line 'to be or not to be' is usually interpreted as meaning 'is it better to live or to die'?,English
2090,To beggar belief,To defy or go beyond what is believable. ,English
2091,To boldly go where no man has gone before,"This introductory text was spoken at the beginning of many Star Trek television episodes and films, from 1966 onward:",English
2092,To boot,Moreover; in addition to.,English
2093,To cast the first stone,"Be the first to attack a sinner. The implication in Jesus' teaching was that the members of the congregation were only in a position to condemn a sinner if they were without sin themselves - in other words, 'judge not lest you be judged'. ",English
2094,To err is human; to forgive divine,A proverb expressing the idea that forgiveness is a worthy response to human failings.  ,English
2095,"To gild refined gold, to paint the lily",To apply unnecessary ornament - to over embellish.,English
2096,"To sleep: perchance to dream: ay, there's the rub","This line is from the celebrated 'To be, or not to be' speech in Shakespeare's Hamlet, 1602:",English
2097,To the manner born,"Destined to be suited to something, by virtue of birth or custom and practise. ",English
2098,To the nth degree ,To the utmost degree; without limit.,English
2099,To travel hopefully is a better thing than to arrive,Hope and anticipation are often better than reality.,English
2100,Toast of the town,A person who is widely admired.,English
2101,Toe the line,To conform to an established standard or political programme. ,English
2102,Toe-curling,Something that is 'toe-curlingly embarrassing' is discomforting enough as to make one squirm and curl one's toes in response. ,English
2103,Toffee-nosed,To be 'toffee-nosed' is to be snobbish; supercilious; stuck-up. ,English
2104,Tommy Atkins,A generic name for a British private soldier. ,English
2105,Tomorrow is another day,"'Tomorrow is another day' is famous for being the last line of Margaret Mitchells's American Civil War novel Gone With The Wind, 1936:",English
2106,Tongue in cheek,"In an ironic manner, not meant to be taken seriously. ",English
2107,Too big for your breeches,Conceited; having a too high opinion of oneself. ,English
2108,Too much of a good thing,Excess may do you harm. ,English
2109,Toodle-oo,"A colloquial version of 'goodbye', now rather archaic. ",English
2110,Tooth and nail,"A fight, undertaken with all one's efforts and with the intensity of a wild animal.",English
2111,Top dog,One who is dominant or victorious. ,English
2112,Top drawer,Of the best quality; of the highest social standing. ,English
2113,Top notch,Excellent.,English
2114,Topsy-turvy,Upset; with the top where the bottom should be. ,English
2115,Total shambles,A scene of disorder; a ruin; a mess. ,English
